,lat,lon,carpark_number,lat_rad,long_rad,day,hour,total_lots,Region
295648,1.307536076,103.793164,Q81,0.0228208096148068,1.811532452862448,20,0,96,South
295649,1.316694165,103.8062103,FR3M,0.0229806484210474,1.8117601537526504,20,0,228,South
295650,1.272794279,103.8248697,BP1,0.0222144508690973,1.8120858217190967,20,0,543,South
295651,1.2877071,103.8115274,BM3,0.0224747286963078,1.8118529546543083,20,0,48,South
295652,1.329158426,103.9314448,B14,0.0231981908143254,1.8139459081147395,20,0,208,East
295653,1.349925905,103.7245096,J54,0.0235606517002141,1.8103342075364663,20,0,226,West
295654,1.367034867,103.8381808,A11,0.0238592594187127,1.81231814424116,20,0,368,Central
295655,1.27998163,103.8250796,TE2,0.0223398938085438,1.8120894851651967,20,0,213,South
295656,1.350156832,103.7213472,J39,0.0235646821366959,1.8102790132442013,20,0,250,West
295657,1.350740284,103.726726,J53,0.0235748652951232,1.810372891014008,20,0,215,West
295658,1.346886669,103.716669,J27,0.023507607025269,1.8101973632511343,20,0,291,West
295659,1.3521721,103.7184796,J48,0.023599855198606,1.8102289641825715,20,0,745,West
295660,1.324990698,103.8424596,BH1,0.0231254502383978,1.8123928233891933,20,0,57,Central
295661,1.321527129,103.854656,BRM3,0.0230649995554778,1.812605690726084,20,0,406,Central
295662,1.334004235,103.8692136,PP1,0.0232827661362981,1.8128597687772725,20,0,257,Central
295663,1.333601317,103.8658442,PP3,0.0232757338905826,1.812800961653456,20,0,345,Central
295664,1.336312435,103.8632225,PP5,0.0233230518260927,1.8127552043564563,20,0,346,Central
295665,1.335887944,103.8524074,TP14,0.0233156430604976,1.812566445252524,20,0,53,Central
295666,1.33324508,103.8483158,TP16,0.0232695163820152,1.8124950333608487,20,0,668,Central
295667,1.338248372,103.8440728,TPMG,0.0233568403008538,1.812420979040687,20,0,116,Central
295668,1.320769366,103.8532439,WDB1,0.023051774096178,1.8125810449317168,20,0,75,Central
295669,1.425449082,103.8367624,Y56,0.0248787798004306,1.8122933884910493,20,0,45,North
295670,1.286302029,103.8095711,BM1,0.0224502055811335,1.811818810778152,20,0,60,South
295671,1.283998665,103.8158228,BM28,0.0224100042954616,1.8119279235269987,20,0,47,South
295672,1.286962416,103.8296407,BTM2,0.0224617315086209,1.81216909137771,20,0,496,South
295673,1.392768375,103.74673,CK42,0.024308393861401,1.8107220266775768,20,0,453,West
